latex,編碼,符號,點字,來源,count
\triangleq,225C,≜,⠐⠨⠅⠣⠫⠞⠻,self,1
,225D,≝,⠐⠨⠅⠣⠙⠑⠋⠻,ctb,1
,225E,≞,⠐⠨⠅⠣⠍⠻,ctb,1
,225F,≟,⠐⠨⠅⠣⠸⠦⠻,ctb,1
\ne,2260,≠,⠌⠨⠅,self,1
\equiv,2261,≡,⠸⠇,self,1
,2262,≢,⠌⠸⠇,ctb,1
,2263,≣,⠨⠅⠨⠅,ctb,1
\leq,2264,≤,⠐⠅⠱,self,1
\geq,2265,≥,⠨⠂⠱,self,1
,2266,≦,⠐⠅⠨⠅,ctb,1
,2267,≧,⠨⠂⠨⠅,ctb,1
,2268,≨,⠐⠅⠌⠨⠅,ctb,1
,2269,≩,⠨⠂⠌⠨⠅,ctb,1
\ll,226A,≪,⠐⠅⠈⠐⠅⠻,self,1
\gg,226B,≫,⠨⠂⠈⠨⠂⠻,self,1
,226D,≭,⠌⠈⠣⠠⠣,ctb,1
\nless,226E,≮,⠌⠐⠅,self,1
\ngtr,226F,≯,⠌⠨⠂,self,1
\nleqq,2270,≰,⠌⠐⠅⠱,self,1
\ngeqq,2271,≱,⠌⠨⠂⠱,self,1
,2272,≲,⠐⠅⠈⠱,ctb,1
,2273,≳,⠨⠂⠈⠱,ctb,1
,2274,≴,⠌⠐⠅⠈⠱,ctb,1
,2275,≵,⠌⠨⠂⠈⠱,ctb,1
,2276,≶,⠐⠅⠨⠂,ctb,1
\gtrless,2277,≷,⠨⠂⠐⠐⠅,self,2
,2278,≸,⠌⠐⠅⠨⠂,ctb,1
,2279,≹,⠌⠨⠂⠐⠅,ctb,1
,227A,≺,⠨⠐⠅,umbs,1
,227B,≻,⠨⠨⠂,umbs,1
,227E,≾,⠨⠐⠅⠈⠱,umbs,1
,227F,≿,⠨⠨⠂⠈⠱,umbs,1
\subset,2282,⊂,⠸⠐⠅,self,1
\supset,2283,⊃,⠸⠨⠂,self,1
,2284,⊄,⠌⠸⠐⠅,ctb,1
,2285,⊅,⠌⠸⠨⠂,ctb,1
\subseteq,2286,⊆,⠸⠐⠅⠱,self,1
\supseteq,2287,⊇,⠸⠨⠂⠱,self,1
,2288,⊈,⠌⠸⠐⠅⠱,ctb,1
,2289,⊉,⠌⠸⠨⠂⠱,ctb,1
,228A,⊊,⠸⠐⠅⠌⠨⠅,ctb,2
,228B,⊋,⠸⠨⠂⠌⠨⠅,ctb,2
,228C,⊌,⠨⠬⠈⠫⠪⠒⠻,umbs,1
,228D,⊍,⠡⠈⠨⠬⠻,umbs,1
,228E,⊎,⠬⠈⠨⠬⠻,umbs,1
\oplus,2295,⊕,⠫⠉⠸⠫⠬⠻,self,2
