latex,code,symbol,nemeth,source,priority,ingore-braille-space
\nsupset,02285,⊅,⠌⠸⠨⠂,ctb,1,True
\subseteq,02286,⊆,⠸⠐⠅⠱,self,1,True
\supseteq,02287,⊇,⠸⠨⠂⠱,self,1,True
\nsubseteq,02288,⊈,⠌⠸⠐⠅⠱,ctb,1,True
\nsupseteq,02289,⊉,⠌⠸⠨⠂⠱,ctb,1,True
\subsetneq,0228A,⊊,⠸⠐⠅⠌⠨⠅,ctb,1,True
\supsetneq,0228B,⊋,⠸⠨⠂⠌⠨⠅,ctb,1,True
,0228C,⊌,⠨⠬⠈⠫⠪⠒⠻,umbs,1,True
,0228D,⊍,⠡⠈⠨⠬⠻,umbs,1,True
\uplus,0228E,⊎,⠬⠈⠨⠬⠻,umbs,1,True
\oplus,02295,⊕,⠫⠉⠸⠫⠬⠻,self,1,True
\ominus,02296,⊖,⠫⠉⠸⠫⠤⠻,self,1,True
\otimes,02297,⊗,⠫⠉⠸⠫⠈⠡⠻,self,1,True
\oslash,02298,⊘,⠫⠉⠸⠫⠸⠌⠻,ctb,1,True
\odot,02299,⊙,⠫⠉⠸⠫⠡⠻,self,1,True
\circledcirc,0229A,⊚,⠫⠉⠸⠫⠨⠡⠻,ctb,1,True
\circledast,0229B,⊛,⠫⠉⠸⠫⠈⠼⠻,ctb,1,True
,0229C,⊜,⠫⠉⠸⠫⠨⠅⠻,ctb,1,True
\circleddash,0229D,⊝,⠫⠉⠸⠫⠤⠤⠻,ctb,1,True
\boxplus,0229E,⊞,⠫⠲⠸⠫⠬⠻,ctb,1,True
\boxminus,0229F,⊟,⠫⠲⠸⠫⠱⠻,self,1,True
\boxtimes,022A0,⊠,⠫⠲⠸⠫⠢⠈⠔⠻,self,1,True
\boxdot,022A1,⊡,⠫⠲⠸⠫⠡⠻,self,1,True
\vdash,022A2,⊢,⠫⠳⠒⠒,ctb,1,True
\dashv,022A3,⊣,⠫⠒⠒⠳,ctb,1,True
\top,022A4,⊤,⠫⠣⠒⠒⠳,ctb,1,True
\bot,022A5,⊥,⠀⠫⠏⠀,ctb,1,True
,022A6,⊦,⠫⠳⠒,ctb,1,True
\models,022A7,⊧,⠫⠳⠶,ctb,1,True
\vDash,022A8,⊨,⠫⠳⠶⠶,ctb,1,True
\Vdash,022A9,⊩,⠫⠳⠳⠒,ctb,1,True
\Vvdash,022AA,⊪,⠫⠳⠳⠳⠒,ctb,1,True
\VDash,022AB,⊫,⠫⠳⠳⠶,ctb,1,True
\nvdash,022AC,⊬,⠌⠫⠳⠒,ctb,1,True
\nvDash,022AD,⊭,⠌⠫⠳⠶⠶,ctb,1,True
\nVdash,022AE,⊮,⠌⠫⠳⠳⠒,ctb,1,True
\nVDash,022AF,⊯,⠌⠫⠳⠳⠶,ctb,1,True
\multimapdotbothA,022B6,⊶,⠫⠨⠡⠒⠒⠡,ctb,1,True
\multimapdotbothB,022B7,⊷,⠫⠡⠒⠒⠨⠡,ctb,1,True
\multimap,022B8,⊸,⠫⠒⠒⠨⠡,ctb,1,True
\veebar,022BB,⊻,⠐⠈⠬⠩⠱⠻,ctb,1,True
\barwedge,022BC,⊼,⠐⠈⠩⠣⠱⠻,ctb,1,True
,022BD,⊽,⠐⠈⠬⠣⠱⠻,ctb,1,True
,022BE,⊾,⠫⠪⠨⠗⠻⠸⠫⠫⠁⠻,ctb,1,True
,022BF,⊿,⠫⠞⠨⠗⠻,umbs,1,True
\wedge,022C0,⋀,⠈⠩,self,2,True
\vee,022C1,⋁,⠈⠬,self,2,True
\cap,022C2,⋂,⠨⠩,self,2,True
\cup,022C3,⋃,⠨⠬,self,2,True
.,022C5,⋅,⠨,self,2,True
\star,022C6,⋆,⠫⠎,self,2,True
\backsimeq,022CD,⋍,⠠⠱⠱,umbs,1,True
\#,022D5,⋕,⠨⠼,self,1,True
\lessdot,022D6,⋖,⠡⠈⠐⠅⠻,ctb,1,True
\gtrdot,022D7,⋗,⠡⠈⠨⠂⠻,ctb,1,True
\lll,022D8,⋘,⠐⠅⠈⠐⠅⠈⠐⠅⠻,umbs,1,True
\ggg,022D9,⋙,⠨⠂⠈⠨⠂⠈⠨⠂⠻,umbs,1,True
,022DC,⋜,⠱⠐⠅,ctb,1,True
,022DD,⋝,⠱⠨⠂,ctb,1,True
\vdots,022EE,⋮,⠩⠒⠒⠒,umbs,1,True
\cdots,022EF,⋯,⠒⠒⠒,umbs,1,True
\iddots,022F0,⋰,⠘⠒⠒⠒,umbs,1,True
\ddots,022F1,⋱,⠰⠒⠒⠒,umbs,1,True
,022F2,⋲,⠱⠈⠈⠑⠻,umbs,1,True
,022F5,⋵,⠐⠈⠑⠣⠡⠻,ctb,1,True
\barin,022F6,⋶,⠐⠈⠑⠣⠱⠻,ctb,1,True
,022FA,⋺,⠱⠈⠈⠢⠻,umbs,1,True
,022FD,⋽,⠐⠈⠢⠣⠱⠻,ctb,1,True
,02305,⌅,⠐⠱⠩⠸⠣⠻,ctb,1,True
,02306,⌆,⠐⠨⠅⠩⠸⠣⠻,ctb,1,True
\lceil,02308,⌈,⠈⠘⠷,self,1,True
\rceil,02309,⌉,⠈⠘⠾,self,1,True
\lfloor,0230A,⌊,⠈⠰⠷,self,1,True
\rfloor,0230B,⌋,⠈⠰⠾,self,1,True
,02312,⌒,⠫⠁,ctb,1,True
\frown,02322,⌢,⠫⠁,self,2,True
\smile,02323,⌣,⠫⠄,self,1,True
,0239B,⎛,⠠⠷,ctb,1,True
,0239C,⎜,⠠⠷,ctb,1,True
,0239D,⎝,⠠⠷,ctb,1,True
,0239E,⎞,⠠⠾,ctb,1,True
,0239F,⎟,⠠⠾,ctb,1,True
,023A0,⎠,⠠⠾,ctb,1,True
,023A1,⎡,⠈⠠⠷,ctb,1,True
,023A2,⎢,⠈⠠⠷,ctb,1,True
,023A3,⎣,⠈⠠⠷,ctb,1,True
,023A4,⎤,⠈⠠⠾,ctb,1,True
,023A5,⎥,⠈⠠⠾,ctb,1,True
,023A6,⎦,⠈⠠⠾,ctb,1,True
,023A7,⎧,⠨⠠⠷,ctb,1,True
,023A8,⎨,⠨⠠⠷,ctb,1,True
,023A9,⎩,⠨⠠⠷,ctb,1,True
,023AB,⎫,⠨⠠⠾,ctb,1,True
,023AC,⎬,⠨⠠⠾,ctb,1,True
